answer,current_clue,source_type,source_id,canonical_slug,source_ref,evidence_page_url,approved_count,fallback_used,rejected_candidates,rejected_reason_codes,manual_clue,reason_codes,reason_details,status
GLACIER ROOM,Unova landmark,location,564,,https://pokeapi.co/api/v2/location/564/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GNARLED DEN,Hoenn landmark,location,704,,https://pokeapi.co/api/v2/location/704/,https://bulbapedia.bulbagarden.net/wiki/Gnarled_Den,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GOLD BOTTLE,Picnic item,item,2080,,https://pokeapi.co/api/v2/item/2080/,https://bulbapedia.bulbagarden.net/wiki/Gold_Bottle,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
GOLD CUP,Picnic item,item,2082,,https://pokeapi.co/api/v2/item/2082/,https://bulbapedia.bulbagarden.net/wiki/Gold_Cup,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
GOLD LEAF,Valuable sellable loot,item,1029,,https://pokeapi.co/api/v2/item/1029/,https://bulbapedia.bulbagarden.net/wiki/Gold_Leaf,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GOLD PICK,Picnic item,item,2036,,https://pokeapi.co/api/v2/item/2036/,https://bulbapedia.bulbagarden.net/wiki/Gold_Pick,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
GOOD AS GOLD,Gen IX ability,ability,283,,https://pokeapi.co/api/v2/ability/283/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GOOEY,debuffing trait,ability,183,,https://pokeapi.co/api/v2/ability/183/,https://bulbapedia.bulbagarden.net/wiki/Gooey_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GOOEY MULCH,Keeps dead berry plants productive,item,98,,https://pokeapi.co/api/v2/item/98/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS,leafy element,type,12,,https://pokeapi.co/api/v2/type/12/,https://bulbapedia.bulbagarden.net/wiki/Grass,3,true,,,,fallback_only|needs_more_crossword_clues,"fallback_only, needs_more_crossword_clues",needs_review
GRASS CLOAK,Gen V ability,ability,10034,,https://pokeapi.co/api/v2/ability/10034/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS GEM,Held battle item,item,594,,https://pokeapi.co/api/v2/item/594/,https://bulbapedia.bulbagarden.net/wiki/Grass_Gem,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS KNOT,Stronger against heavier targets,move,447,,https://pokeapi.co/api/v2/move/447/,https://bulbapedia.bulbagarden.net/wiki/Grass_Knot_(move),2,false,Grass special move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS MEMORY,Species-linked power item,item,912,,https://pokeapi.co/api/v2/item/912/,https://bulbapedia.bulbagarden.net/wiki/Grass_Memory,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS PELT,Gen VI ability,ability,179,,https://pokeapi.co/api/v2/ability/179/,https://bulbapedia.bulbagarden.net/wiki/Grass_Pelt_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS PLEDGE,80-power move,move,520,,https://pokeapi.co/api/v2/move/520/,https://bulbapedia.bulbagarden.net/wiki/Grass_Pledge_(move),1,false,Grass special move || Gen V Grass move,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASS WHISTLE,Move that puts foes to sleep,move,320,,https://pokeapi.co/api/v2/move/320/,https://bulbapedia.bulbagarden.net/wiki/Grass_Whistle_(move),2,false,Grass status move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASSIUM Z BAG,unused,item,942,,https://pokeapi.co/api/v2/item/942/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASSIUM Z HELD,Grass-move Z crystal,item,821,,https://pokeapi.co/api/v2/item/821/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASSY SEED,Held battle item,item,901,,https://pokeapi.co/api/v2/item/901/,https://bulbapedia.bulbagarden.net/wiki/Grassy_Seed,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASSY SURGE,Gen VII ability,ability,229,,https://pokeapi.co/api/v2/ability/229/,https://bulbapedia.bulbagarden.net/wiki/Grassy_Surge_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRASSY TERRAIN,Grass status move,move,580,,https://pokeapi.co/api/v2/move/580/,https://bulbapedia.bulbagarden.net/wiki/Grassy_Terrain_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRAVITY,Psychic status move,move,356,,https://pokeapi.co/api/v2/move/356/,https://bulbapedia.bulbagarden.net/wiki/Gravity_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GREEN APRICORN,Friend Ball ingredient,item,461,,https://pokeapi.co/api/v2/item/461/,https://bulbapedia.bulbagarden.net/wiki/Green_Apricorn,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GREEN DISH,Picnic item,item,2095,,https://pokeapi.co/api/v2/item/2095/,https://bulbapedia.bulbagarden.net/wiki/Green_Dish,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
GRIM NEIGH,Gen VIII ability,ability,265,,https://pokeapi.co/api/v2/ability/265/,https://bulbapedia.bulbagarden.net/wiki/Grim_Neigh_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GROUND,earthbound element,type,5,,https://pokeapi.co/api/v2/type/5/,https://bulbapedia.bulbagarden.net/wiki/Ground_(type),3,true,battle element,pruned_generic_fallback,,fallback_only|needs_more_crossword_clues,"fallback_only, needs_more_crossword_clues",needs_review
GROUND GEM,Held battle item,item,598,,https://pokeapi.co/api/v2/item/598/,https://bulbapedia.bulbagarden.net/wiki/Ground_Gem,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GROUND MEMORY,Species-linked power item,item,905,,https://pokeapi.co/api/v2/item/905/,https://bulbapedia.bulbagarden.net/wiki/Ground_Memory,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GROUNDIUM Z BAG,unused,item,946,,https://pokeapi.co/api/v2/item/946/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GROWTH MULCH,Quickens berry ripening,item,95,,https://pokeapi.co/api/v2/item/95/,,1,false,Speeds berry growth,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRUDGE,Ghost status move,move,288,,https://pokeapi.co/api/v2/move/288/,https://bulbapedia.bulbagarden.net/wiki/Grudge_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GRUELING GROVE,Hisui landmark,location,986,,https://pokeapi.co/api/v2/location/986/,https://bulbapedia.bulbagarden.net/wiki/Grueling_Grove,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GUARD SPLIT,Psychic status move,move,470,,https://pokeapi.co/api/v2/move/470/,https://bulbapedia.bulbagarden.net/wiki/Guard_Split_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GUARD SWAP,Psychic status move,move,385,,https://pokeapi.co/api/v2/move/385/,https://bulbapedia.bulbagarden.net/wiki/Guard_Swap_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
GUILLOTINE,Normal physical move,move,12,,https://pokeapi.co/api/v2/move/12/,https://bulbapedia.bulbagarden.net/wiki/Guillotine_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HADRON ENGINE,Gen IX ability,ability,289,,https://pokeapi.co/api/v2/ability/289/,https://bulbapedia.bulbagarden.net/wiki/Hadron_Engine_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HAIL,Ice status move,move,258,,https://pokeapi.co/api/v2/move/258/,https://bulbapedia.bulbagarden.net/wiki/Hail,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HAMBURGER,Berry-blending ingredient,item,1740,,https://pokeapi.co/api/v2/item/1740/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HAPPY HOUR,Normal status move,move,603,,https://pokeapi.co/api/v2/move/603/,https://bulbapedia.bulbagarden.net/wiki/Happy_Hour_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HARVEST,Weather-linked trait,ability,139,,https://pokeapi.co/api/v2/ability/139/,https://bulbapedia.bulbagarden.net/wiki/Harvest_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HAUOLI,Alola landmark,location,1042,,https://pokeapi.co/api/v2/location/1042/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HAZE,Ice status move,move,114,,https://pokeapi.co/api/v2/move/114/,https://bulbapedia.bulbagarden.net/wiki/Haze_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAL BELL,Normal status move,move,215,,https://pokeapi.co/api/v2/move/215/,https://bulbapedia.bulbagarden.net/wiki/Heal_Bell_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAL BLOCK,Psychic status move,move,377,,https://pokeapi.co/api/v2/move/377/,https://bulbapedia.bulbagarden.net/wiki/Heal_Block_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAL ORDER,Bug status move,move,456,,https://pokeapi.co/api/v2/move/456/,https://bulbapedia.bulbagarden.net/wiki/Heal_Order_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAL POWDER,debuffing item,item,36,,https://pokeapi.co/api/v2/item/36/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAL PULSE,Psychic status move,move,505,,https://pokeapi.co/api/v2/move/505/,https://bulbapedia.bulbagarden.net/wiki/Heal_Pulse_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALING WISH,Psychic status move,move,361,,https://pokeapi.co/api/v2/move/361/,https://bulbapedia.bulbagarden.net/wiki/Healing_Wish_(move),2,false,healing move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALTH CANDY,Gen VII vitamins,item,1040,,https://pokeapi.co/api/v2/item/1040/,https://bulbapedia.bulbagarden.net/wiki/Health_Candy,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALTH CANDY L,Gen VII vitamins,item,1046,,https://pokeapi.co/api/v2/item/1046/,https://bulbapedia.bulbagarden.net/wiki/Health_Candy_L,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALTH CANDY XL,vitamins,item,1052,,https://pokeapi.co/api/v2/item/1052/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALTH MOCHI,Gen IX vitamins,item,2112,,https://pokeapi.co/api/v2/item/2112/,https://bulbapedia.bulbagarden.net/wiki/Health_Mochi,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEALTH WING,Gen V vitamins,item,606,,https://pokeapi.co/api/v2/item/606/,https://bulbapedia.bulbagarden.net/wiki/Health_Feather,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEART SWAP,Psychic status move,move,391,,https://pokeapi.co/api/v2/move/391/,https://bulbapedia.bulbagarden.net/wiki/Heart_Swap_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEARTS CRAG,Hisui landmark,location,987,,https://pokeapi.co/api/v2/location/987/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAT CRASH,Fire physical move,move,535,,https://pokeapi.co/api/v2/move/535/,https://bulbapedia.bulbagarden.net/wiki/Heat_Crash_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAT ROCK,Held battle item,item,261,,https://pokeapi.co/api/v2/item/261/,https://bulbapedia.bulbagarden.net/wiki/Heat_Rock,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEATPROOF,burning trait,ability,85,,https://pokeapi.co/api/v2/ability/85/,https://bulbapedia.bulbagarden.net/wiki/Heatproof_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAVY BALL,Poor on most other targets,item,452,,https://pokeapi.co/api/v2/item/452/,https://bulbapedia.bulbagarden.net/wiki/Heavy_Ball,3,false,,,,duplicate_surface,duplicate_surface,needs_review
HEAVY METAL,Gen V ability,ability,134,,https://pokeapi.co/api/v2/ability/134/,https://bulbapedia.bulbagarden.net/wiki/Heavy_Metal_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEAVY SLAM,Steel physical move,move,484,,https://pokeapi.co/api/v2/move/484/,https://bulbapedia.bulbagarden.net/wiki/Heavy_Slam_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HEIGHTS CAMP,Hisui landmark,location,989,,https://pokeapi.co/api/v2/location/989/,https://bulbapedia.bulbagarden.net/wiki/Base_camp,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HERBED SAUSAGE,Berry-blending ingredient,item,1739,,https://pokeapi.co/api/v2/item/1739/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HERBIVORE,Gen V ability,ability,10018,,https://pokeapi.co/api/v2/ability/10018/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HI TECH EARBUDS,Adventure utility item,item,1313,,https://pokeapi.co/api/v2/item/1313/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HIDDEN GROTTO,Unova landmark,location,556,,https://pokeapi.co/api/v2/location/556/,https://bulbapedia.bulbagarden.net/wiki/Hidden_Grotto,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HIDDEN POWER,Normal special move,move,237,,https://pokeapi.co/api/v2/move/237/,https://bulbapedia.bulbagarden.net/wiki/Hidden_Power_(move),2,false,60-power move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HIDEAWAY BAY,Hisui landmark,location,990,,https://pokeapi.co/api/v2/location/990/,https://bulbapedia.bulbagarden.net/wiki/Hideaway_Bay,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HIGH RISE,Gen V ability,ability,10052,,https://pokeapi.co/api/v2/ability/10052/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOENN,Island location,location,258,,https://pokeapi.co/api/v2/location/258/,https://bulbapedia.bulbagarden.net/wiki/Hoenn,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOLD HANDS,Normal status move,move,607,,https://pokeapi.co/api/v2/move/607/,https://bulbapedia.bulbagarden.net/wiki/Hold_Hands_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOLM OF TRIALS,Hisui landmark,location,991,,https://pokeapi.co/api/v2/location/991/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOLO CASTER RED,unused,item,930,,https://pokeapi.co/api/v2/item/930/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HONEY GATHER,Gen IV ability,ability,118,,https://pokeapi.co/api/v2/ability/118/,https://bulbapedia.bulbagarden.net/wiki/Honey_Gather_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HONOR OF KALOS,Plot-critical key,item,735,,https://pokeapi.co/api/v2/item/735/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HORN DRILL,Normal physical move,move,32,,https://pokeapi.co/api/v2/move/32/,https://bulbapedia.bulbagarden.net/wiki/Horn_Drill_(move),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HORSERADISH,Berry-blending ingredient,item,1757,,https://pokeapi.co/api/v2/item/1757/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOSPITALITY,healing trait,ability,301,,https://pokeapi.co/api/v2/ability/301/,https://bulbapedia.bulbagarden.net/wiki/Hospitality_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HOT BLOODED,Gen V ability,ability,10020,,https://pokeapi.co/api/v2/ability/10020/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HP UP,boosting item,item,45,,https://pokeapi.co/api/v2/item/45/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HUGE POWER,Gen III ability,ability,37,,https://pokeapi.co/api/v2/ability/37/,https://bulbapedia.bulbagarden.net/wiki/Huge_Power_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HUNGER SWITCH,switching trait,ability,258,,https://pokeapi.co/api/v2/ability/258/,https://bulbapedia.bulbagarden.net/wiki/Hunger_Switch_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HUSTLE,debuffing ability,ability,55,,https://pokeapi.co/api/v2/ability/55/,https://bulbapedia.bulbagarden.net/wiki/Hustle_(Ability),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HYDRATION,Weather-linked trait,ability,93,,https://pokeapi.co/api/v2/ability/93/,https://bulbapedia.bulbagarden.net/wiki/Hydration_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
HYPER CUTTER,debuffing trait,ability,52,,https://pokeapi.co/api/v2/ability/52/,https://bulbapedia.bulbagarden.net/wiki/Hyper_Cutter_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE BALL,30-power move,move,301,,https://pokeapi.co/api/v2/move/301/,https://bulbapedia.bulbagarden.net/wiki/Ice_Ball_(move),1,false,Ice physical move || Gen III Ice move,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE BEAM,90-power move,move,58,,https://pokeapi.co/api/v2/move/58/,https://bulbapedia.bulbagarden.net/wiki/Ice_Beam_(move),1,false,Ice special move || Gen I Ice move,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE BODY,Weather-linked trait,ability,115,,https://pokeapi.co/api/v2/ability/115/,https://bulbapedia.bulbagarden.net/wiki/Ice_Body_(Ability),2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE BURN,burning move,move,554,,https://pokeapi.co/api/v2/move/554/,https://bulbapedia.bulbagarden.net/wiki/Ice_Burn_(move),2,false,Ice special move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE FACE,healing trait,ability,248,,https://pokeapi.co/api/v2/ability/248/,https://bulbapedia.bulbagarden.net/wiki/Ice_Face,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE FANG,flinch-causing move,move,423,,https://pokeapi.co/api/v2/move/423/,https://bulbapedia.bulbagarden.net/wiki/Ice_Fang_(move),2,false,Ice physical move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE GEM,Held battle item,item,595,,https://pokeapi.co/api/v2/item/595/,https://bulbapedia.bulbagarden.net/wiki/Ice_Gem,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE HAMMER,debuffing move,move,665,,https://pokeapi.co/api/v2/move/665/,https://bulbapedia.bulbagarden.net/wiki/Ice_Hammer_(move),2,false,Ice physical move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE HEAL,Gen I status cures,item,20,,https://pokeapi.co/api/v2/item/20/,https://bulbapedia.bulbagarden.net/wiki/Ice_Heal,2,false,,,,needs_more_crossword_clues|duplicate_surface|needs_more_crossword_clues,"needs_more_crossword_clues, duplicate_surface, needs_more_crossword_clues",needs_review
ICE MEMORY,Species-linked power item,item,915,,https://pokeapi.co/api/v2/item/915/,https://bulbapedia.bulbagarden.net/wiki/Ice_Memory,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE PUNCH,75-power move,move,8,,https://pokeapi.co/api/v2/move/8/,https://bulbapedia.bulbagarden.net/wiki/Ice_Punch_(move),1,false,Ice physical move || Gen I Ice move,answer_fragment_leak || answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE SCALES,Gen VIII ability,ability,246,,https://pokeapi.co/api/v2/ability/246/,https://bulbapedia.bulbagarden.net/wiki/Ice_Scales_(Ability),1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE SHARD,priority move,move,420,,https://pokeapi.co/api/v2/move/420/,https://bulbapedia.bulbagarden.net/wiki/Ice_Shard_(move),2,false,Ice physical move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE SPINNER,switching move,move,861,,https://pokeapi.co/api/v2/move/861/,https://bulbapedia.bulbagarden.net/wiki/Ice_Spinner_(move),2,false,Ice physical move,answer_fragment_leak,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE STONE,Evolution-trigger item,item,885,,https://pokeapi.co/api/v2/item/885/,https://bulbapedia.bulbagarden.net/wiki/Ice_Stone,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICE TERA SHARD,Crafting or exchange material,item,1683,,https://pokeapi.co/api/v2/item/1683/,https://bulbapedia.bulbagarden.net/wiki/Ice_Tera_Shard,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICEBOUND FALLS,Hisui landmark,location,994,,https://pokeapi.co/api/v2/location/994/,https://bulbapedia.bulbagarden.net/wiki/Icebound_Falls,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICEPEAK ARENA,Hisui landmark,location,995,,https://pokeapi.co/api/v2/location/995/,https://bulbapedia.bulbagarden.net/wiki/Icepeak_Arena,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICIUM Z BAG,unused,item,943,,https://pokeapi.co/api/v2/item/943/,,1,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
ICIUM Z HELD,Ice-move Z crystal,item,822,,https://pokeapi.co/api/v2/item/822/,,2,false,,,,needs_more_crossword_clues|needs_more_crossword_clues,"needs_more_crossword_clues, needs_more_crossword_clues",needs_review
