answer,clue 1,clue 2,clue 3,clue 4,clue 5
DISGUST,Gen V ability,,,,
DISTANT LAND,regional map location,Gen IV location,,,
DITTO,Transform Pokemon,Gen I Normal species,,,
DIVE,Water physical move,Gen III Water move,80-power move,,
DIVE BALL,Poor on most other targets,Special Poke Ball,,,
DIZZY PUNCH,Normal physical move,Gen I Normal move,70-power move,,
DNA SPLICERS,Used for Kyurem fusion,Reshiram/Zekrom fusion item,Adventure utility item,,
DODRIO,Triple Bird Pokemon,Gen I Normal/Flying species,Evolves from Doduo,Flying egg-group species,
DODUO,Twin Bird Pokemon,Gen I Normal/Flying species,Flying egg-group species,,
DOLLIV,Olive Pokemon,Gen IX Grass/Normal species,Evolves from Smoliv,Plant egg-group species,
DOME FOSSIL,Revives into Kabuto,Gen I relic for Kabuto,Unlocks progression content,Progress-gating key item,Prehistoric revival item
DONDOZO,Big Catfish Pokemon,Gen IX Water species,Water2 egg-group species,,
DONPHAN,Paradox Pokemon,Gen II Armor Pokemon,Gen II Ground species,Evolves from Phanpy,Ground egg-group species
DOODLE,Normal status move,Gen IX Normal move,0-power move,poisoning move,
DOOM DESIRE,Steel special move,Gen III Steel move,140-power move,,
DOTTLER,Radome Pokemon,Gen VIII Bug/Psychic species,Evolves from Blipbug,Bug egg-group species,
DOUBLADE,Sword Pokemon,Gen VI Steel/Ghost species,Evolves from Honedge,Mineral egg-group species,
DOUBLE EDGE,Normal physical move,Gen I Normal move,120-power move,,
DOUBLE HIT,Normal physical move,Gen IV Normal move,35-power move,,
DOUBLE KICK,Fighting physical move,Gen I Fighting move,30-power move,,
DOUBLE SHOCK,Electric physical move,Gen IX Electric move,120-power move,switching move,
DOUBLE SLAP,Normal physical move,Gen I Normal move,15-power move,,
DOUBLE TEAM,Normal status move,Gen I Normal move,boosting move,,
DOUSE DRIVE,Species-linked power item,Signature battle item,,,
DOWNLOAD,Raises Attack or Sp. Atk on entry,Porygon'S Evolutionary Line's signature Ability,Reads the foe's weaker defense,Entry boost based on enemy defenses,boosting trait
DRACO METEOR,Dragon special move,Gen IV Dragon move,130-power move,debuffing move,
DRACO PLATE,The Holder'S Dragon-Type Moves By Power boost item,Boosts Dragon moves for The Holder',Dragon-move booster,Signature orb for The Holder',Species-specific power orb
DRACOVISH,Fossil Pokemon,No-Eggs egg-group species,,,
DRACOZOLT,Fossil Pokemon,No-Eggs egg-group species,,,
DRAGALGE,Dragon Pokemon,Gen VI Mock Kelp Pokemon,Mega form turns Poison/Dragon,Gen VI Poison/Dragon species,Evolves from Skrelp
DRAGAPULT,legendary Pokemon,Gen VIII Stealth Pokemon,Gen VIII Dragon/Ghost species,Evolves from Drakloak,Indeterminate egg-group species
DRAGON,draconic element,battle element,,,
DRAGONAIR,Dragon Pokemon,Gen I Dragon species,Evolves from Dratini,Water1 egg-group species,
DRAGON ASCENT,Flying physical move,Gen VI Flying move,120-power move,debuffing move,
DRAGON BREATH,paralyzing move,60-power move,,,
DRAGON CHEER,0-power move,switching move,,,
DRAGON CLAW,80-power move,Dragon physical move,,,
DRAGON DANCE,boosting move,Dragon status move,,,
DRAGON DARTS,50-power move,protective move,switching move,,
DRAGON ENERGY,150-power move,Dragon special move,,,
DRAGON FANG,Signature orb for The Holder',Species-specific power orb,,,
DRAGON GEM,Held battle item,One-use Dragon booster,,,
DRAGON HAMMER,90-power move,Dragon physical move,,,
DRAGONITE,legendary Pokemon,Gen I Dragon Pokemon,Mega form turns Dragon/Flying,Gen I Dragon/Flying species,Evolves from Dragonair
DRAGON MEMORY,Species-linked power item,Signature battle item,,,
DRAGON PULSE,85-power move,Dragon special move,,,
DRAGON RUSH,100-power move,flinch-causing move,,,
DRAGON SCALE,Seadra evolution item,Evolution-trigger item,Evolves Seadra into Kingdra When Traded While Holding It,,
DRAGONS DEN,Johto city,Johto landmark,Urban landmark,City in Johto,
DRAGON SKULL,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
DRAGONS MAW,Gen VIII ability,,,,
DRAGON TAIL,60-power move,switching move,,,
DRAINING KISS,Self-healing move,Fairy special move,Gen VI Fairy move,50-power move,
DRAIN PUNCH,Self-healing move,Fighting physical move,Gen IV Fighting move,75-power move,draining move
DRAKLOAK,Caretaker Pokemon,Gen VIII Dragon/Ghost species,Evolves from Dreepy,Indeterminate egg-group species,
DRAMPA,Dragon Pokemon,Gen VII Placid Pokemon,Mega form turns Normal/Dragon,Gen VII Normal/Dragon species,Monster egg-group species
DRAPION,Ogre Scorpion Pokemon,Gen IV Poison/Dark species,Evolves from Skorupi,Bug egg-group species,
DRATINI,Dragon Pokemon,Gen I Dragon species,Water1 egg-group species,,
DREADED DEN,Paldea landmark,Located in Oni Mountain In Kitakami,,,
DREAD PLATE,The Holder'S Dark-Type Moves By Power boost item,Boosts Dark moves for The Holder',Dark-move booster,Signature orb for The Holder',Species-specific power orb
DREAM BALL,Otherworld catcher,Special Poke Ball,,,
DREAM EATER,Self-healing move,Psychic special move,Gen I Psychic move,100-power move,draining move
DREAMYARD,Unova city,Ancient regional ruins,Unova landmark,City in Unova,
DREDNAW,Bite Pokemon,Gen VIII Bite Pokemon,Gen VIII Water/Rock species,Evolves from Chewtle,Monster egg-group species
DREEPY,Lingering Pokemon,Gen VIII Dragon/Ghost species,Indeterminate egg-group species,,
DRIFBLIM,Blimp Pokemon,Gen IV Ghost/Flying species,Evolves from Drifloon,Indeterminate egg-group species,
DRIFLOON,Balloon Pokemon,Gen IV Ghost/Flying species,Indeterminate egg-group species,,
DRIFTVEIL,Unova city,Ancient regional ruins,Unova landmark,City in Unova,
DRILBUR,Mole Pokemon,Gen V Ground species,Ground egg-group species,,
DRILL PECK,Flying physical move,Gen I Flying move,80-power move,,
DRILL RUN,Ground physical move,critical-hit move,Gen V Ground move,80-power move,
DRIZZILE,Water Lizard Pokemon,Gen VIII Water species,Evolves from Sobble,Water1 egg-group species,
DRIZZLE,Summons rain on entry,Kyogre's signature Ability,Automatic rainmaker,Rain Dance on switch-in,Weather-linked trait
DRONING MEADOW,Crimson Mirelands area,Hisui landmark,,,
DROPPED ITEM,Unlocks progression content,Plot-critical key,Progress-gating key item,Story-progress key item,
DROUGHT,Groudon's signature Ability,Weather-linked trait,,,
DROWZEE,Hypnosis Pokemon,Gen I Psychic species,Humanshape egg-group species,,
DRUDDIGON,Cave Pokemon,Gen V Dragon species,Dragon egg-group species,,
DRUM BEATING,Grass physical move,Gen VIII Grass move,80-power move,debuffing move,
DRY SKIN,Heals from Water-type moves,Water-immunity that restores HP,Recovers when struck by Water,Weather-linked trait,
DUAL CHOP,Dragon physical move,Gen V Dragon move,40-power move,,
DUAL WINGBEAT,Flying physical move,Gen VIII Flying move,40-power move,,
DUBIOUS DISC,Evolution-trigger item,Special Poke Ball,,,
DUBWOOL,Sheep Pokemon,Gen VIII Normal species,Evolves from Wooloo,Ground egg-group species,
DUCKLETT,Water Bird Pokemon,Gen V Water/Flying species,Water1 egg-group species,,
DUDUNSPARCE,Land Snake Pokemon,Gen IX Normal species,Evolves from Dunsparce,Ground egg-group species,
DUGTRIO,Mole Pokemon,Gen I Ground species,Evolves from Diglett,Ground egg-group species,
DUNSPARCE,Land Snake Pokemon,Gen II Normal species,Ground egg-group species,,
DUOSION,Mitosis Pokemon,Gen V Psychic species,Evolves from Solosis,Indeterminate egg-group species,
DURALUDON,Dragon Pokemon,Gen VIII Alloy Pokemon,White Alloy Pokemon,Gen VIII Steel/Dragon species,Mineral egg-group species
DURANT,Iron Ant Pokemon,Gen V Bug/Steel species,Bug egg-group species,,
DURIN BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
DUSCLOPS,Beckon Pokemon,Gen III Ghost species,Evolves from Duskull,Indeterminate egg-group species,
DUSK BALL,Poor on most other targets,Special Poke Ball,,,
DUSKNOIR,Gripper Pokemon,Gen IV Ghost species,Evolves from Dusclops,Indeterminate egg-group species,
DUSK STONE,Bug-Catching Contest ball,National Park contest ball,Held item for Aegislash Effect,Tradable exchange item,Exchangeable collectible
DUSKULL,Requiem Pokemon,Gen III Ghost species,Indeterminate egg-group species,,
DUSTOX,Poison Moth Pokemon,Gen III Bug/Poison species,Evolves from Cascoon,Bug egg-group species,
DUSTY BOWL,Wild Area zone,Galar landmark,,,
DWEBBLE,Rock Inn Pokemon,Gen V Bug/Rock species,Bug egg-group species,,
DYNAMAX BAND,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
DYNAMAX CANNON,Dragon special move,Gen VIII Dragon move,100-power move,,
DYNAMIC PUNCH,Fighting physical move,Gen II Fighting move,100-power move,,
DYNA TREE HILL,Galar landmark,Site of the Dyna Tree,,,
EARLY BIRD,Halves sleep duration,Wakes up unusually fast,Quick-waking trait,,
EARTH EATER,Heals from Ground-type moves,Ground-immunity that restores HP,Orthworm's signature Ability,Recovers when struck by Ground,healing trait
EARTH PLATE,The Holder'S Ground-Type Moves By Power boost item,Boosts Ground moves for The Holder',Ground-move booster,Signature orb for The Holder',Species-specific power orb
EARTH POWER,Ground special move,Gen IV Ground move,debuffing move,,
EARTHQUAKE,Ground physical move,Gen I Ground move,100-power move,,
ECHOED VOICE,Normal special move,Gen V Normal move,40-power move,,
ECRUTEAK,Johto city,Johto landmark,Urban landmark,City in Johto,
EELEKTRIK,EleFish Pokemon,Gen V Electric species,Evolves from Tynamo,Indeterminate egg-group species,
EELEKTROSS,EleFish Pokemon,Gen V Electric species,Evolves from Eelektrik,Mega-evolving species,Indeterminate egg-group species
EERIE IMPULSE,Electric status move,Gen VI Electric move,debuffing move,,
EERIE SPELL,Psychic special move,Gen VIII Psychic move,80-power move,,
EEVEE,Evolution Pokemon,Gen I Normal species,Ground egg-group species,,
EFFECT SPORE,Punishes contact attackers,Damages foes on contact KO,Contact-backlash trait,paralyzing trait,poisoning trait
EGG BOMB,Normal physical move,Gen I Normal move,100-power move,,
EISCUE,Penguin Pokemon,Gen VIII Ice species,Water1 egg-group species,,
EJECT BUTTON,Held battle item,,,,
EJECT PACK,Held battle item,,,,
EKANS,Snake Pokemon,Gen I Poison species,Ground egg-group species,,
ELDEGOSS,Cotton Bloom Pokemon,Gen VIII Grass species,Evolves from Gossifleur,Plant egg-group species,
ELECTABUZZ,Electric Pokemon,Gen I Electric species,Evolves from Elekid,Humanshape egg-group species,
ELECTIRIZER,Electabuzz evolution item,Evolution-trigger item,Evolves Electabuzz into Electivire When Traded While Holding It,,
ELECTIVIRE,Thunderbolt Pokemon,Gen IV Electric species,Evolves from Electabuzz,Humanshape egg-group species,
ELECTRIC,flying-hitting type,shock element,battle element,,
ELECTRIC GEM,Held battle item,One-use Electric booster,,,
ELECTRIC SEED,Held battle item,,,,
ELECTRIC SURGE,Tapu Koko's signature Ability,Gen VII ability,,,
ELECTRIFY,Electric status move,Gen VI Electric move,,,
ELECTRIKE,Lightning Pokemon,Gen III Electric species,Ground egg-group species,,
ELECTRO BALL,Electric special move,Gen V Electric move,,,
ELECTRODE,Ball Pokemon,Gen I Electric species,Evolves from Voltorb,Mineral egg-group species,
ELECTRO DRIFT,Electric special move,Gen IX Electric move,100-power move,,
ELECTRO SHOT,Electric special move,Gen IX Electric move,130-power move,boosting move,flinch-causing move
ELECTROWEB,Electric special move,Gen V Electric move,55-power move,debuffing move,
ELEKID,Electric Pokemon,No-Eggs egg-group species,,,
ELEVATOR KEY,Unlocks progression content,Progress-gating key item,,,
ELGYEM,Cerebral Pokemon,Gen V Psychic species,Humanshape egg-group species,,
ELIXIR,Event-only distribution item,Limited event key item,,,
EMBARGO,Target cannot use held items,Shuts off held items,Held-item-locking move,Dark status move,Gen IV Dark move
EMBEDDED TOWER,"Resting place of Groudon, Kyogre, and Rayquaza",Route 47 tower,Tower where weather legends rest,Johto route,Johto landmark
EMBER,Fire special move,burning move,Gen I Fire move,40-power move,
EMBOAR,Mega Fire Pig Pokemon,Mega form turns Fire/Fighting,Gen V Fire/Fighting species,Evolves from Pignite,Ground egg-group species
EMBODY ASPECT,Terastallized Ogerpon's signature Ability,Gen IX ability,boosting ability,,
EMERGENCY EXIT,Restores HP after a Berry,Heals when it consumes a Berry,Golisopod's signature Ability,Berry-eating heal trait,switching trait
EMOLGA,Sky Squirrel Pokemon,Gen V Electric/Flying species,Ground egg-group species,,
EMPOLEON,Emperor Pokemon,Gen IV Water/Steel species,Evolves from Prinplup,Water1 egg-group species,
ENAMORUS,Legendary Pokemon,Gen VIII Love-Hate Pokemon,No-Eggs egg-group species,,
ENCORE,Copies the foe's last move,Normal status move,Gen II Normal move,,
ENDEAVOR,Normal physical move,Gen III Normal move,debuffing move,,
ENDORSEMENT,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
ENDURE,Normal status move,Gen II Normal move,debuffing move,priority move,
ENERGY BALL,Grass special move,Gen IV Grass move,90-power move,debuffing move,
ENERGY POWDER,Pinch-healing berry,Restores 50 HP,Half-HP recovery berry,50-HP restorative,Berry-blending ingredient
ENERGY ROOT,Pinch-healing berry,Restores 200 HP,Half-HP recovery berry,200-HP restorative,Berry-blending ingredient
ENIGMA BERRY,Poor on most other targets,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient
ENIGMA STONE,Event-only distribution item,Event-only key item,Limited event key item,Mythic event item,
ENIGMATIC CARD,Unlocks progression content,Progress-gating key item,Story or event key item,Story-progress key item,Plot-critical key
ENTEI,Legendary Pokemon,Gen II Volcano Pokemon,No-Eggs egg-group species,,
ENTRAINMENT,Normal status move,Gen V Normal move,,,
ENTRALINK,Unova forest,Unova landmark,Forest in Unova,,
ENTREE FOREST,Unova landmark,Unova forest,,,
EON FLUTE,Unlocks progression content,Progress-gating key item,Story or event key item,Unlocking key item,Adventure utility item
EON TICKET,Event-only key item,Story or event key item,Mythic event item,Unlocking key item,
ERUPTION,Fire special move,Gen III Fire move,150-power move,,
ESCAPE ROPE,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,
ESCAVALIER,Cavalry Pokemon,Gen V Bug/Steel species,Evolves from Karrablast,Bug egg-group species,
ESPATHRA,Ostrich Pokemon,Gen IX Psychic species,Evolves from Flittle,Flying egg-group species,
ESPEON,Sun Pokemon,Gen II Psychic species,Evolves from Eevee,Ground egg-group species,
ESPER WING,Psychic special move,critical-hit move,Gen VIII Psychic move,80-power move,boosting move
ESPURR,Restraint Pokemon,Gen VI Psychic species,Ground egg-group species,,
ETERNA,Sinnoh city,Sinnoh landmark,Town-side landmark,Urban landmark,City in Sinnoh
ETERNABEAM,Dragon special move,Gen VIII Dragon move,160-power move,,
ETERNA FOREST,Sinnoh landmark,Town-side landmark,Urban landmark,,
ETERNATUS,Legendary Pokemon,Gen VIII Gigantic Pokemon,No-Eggs egg-group species,,
ETHER,Event-only distribution item,Limited event key item,pp recovery,healing item,
EVER GRANDE CITY,Island location,Hoenn city,,,
EVERSTONE,Bug-Catching Contest ball,National Park contest ball,Tradable exchange item,Exchangeable collectible,
EVIOLITE,Defense And Special Defense Of A Pokemon-only held item,Power item for Defense And Special Defense Of A Pokemon,,,
EXCADRILL,Subterrene Pokemon,Mega form turns Ground/Steel,Gen V Ground/Steel species,Evolves from Drilbur,Ground egg-group species
EXEGGCUTE,Egg Pokemon,Gen I Grass/Psychic species,Plant egg-group species,,
EXEGGUTOR,Coconut Pokemon,Gen I Grass/Psychic species,Evolves from Exeggcute,Plant egg-group species,
EXP CHARM,Unlocks progression content,Progress-gating key item,Adventure utility item,,
EXPERT BELT,The Holder'S Supereffective Moves By Damage boost item,Power item for The Holder'S Supereffective Moves By,,,
EXPLODE,Gen V ability,,,,
EXPLORER KIT,Adventure utility item,Progress-gating key item,Unlocks progression content,,
EXPLOSION,Normal physical move,Gen I Normal move,250-power move,,
EXPLOUD,Loud Noise Pokemon,Gen III Normal species,Evolves from Loudred,Monster egg-group species,
EXP SHARE,Event-only distribution item,Unlocks progression content,Tradable exchange item,Limited event key item,Progress-gating key item
EXTRASENSORY,Psychic special move,Gen III Psychic move,80-power move,flinch-causing move,
EXTREME SPEED,Normal physical move,Gen II Normal move,80-power move,priority move,
FABLED CAVE,Site on Route 110,Island location,Hoenn city,Bay-side landmark,Hoenn landmark
FABLED SPRING,Hisui landmark,Located in The Southwestern Region Of The Coronet Highlands Of Hisui,,,
FACADE,Normal physical move,burning move,paralyzing move,Gen III Normal move,70-power move
FAIRY,charming element,dragon-resistant type,battle element,,
FAIRY AURA,Xerneas's signature Ability,Gen VI ability,,,
FAIRY FEATHER,Signature orb for The Holder',Species-specific power orb,,,
FAIRY GEM,Held battle item,One-use Fairy booster,,,
FAIRY LOCK,switching move,Fairy status move,,,
FAIRY MEMORY,Species-linked power item,Signature battle item,,,
FAIRY WIND,40-power move,Fairy special move,,,
FAKE OUT,Normal physical move,Gen III Normal move,40-power move,flinch-causing move,priority move
FAKE TEARS,Dark status move,Gen III Dark move,debuffing move,,
FALINKS,Formation Pokemon,Gen VIII Fighting species,Mega-evolving species,Fairy egg-group species,
FALLARBOR,Site on Mt. Chimney,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn
FALSE SWIPE,Normal physical move,Gen II Normal move,40-power move,debuffing move,
FAME CHECKER,Unlocks progression content,Progress-gating key item,Adventure utility item,,
FARAWAY ISLAND,Hoenn landmark,Island in Hoenn,,,
FARAWAY PLACE,regional map location,Gen IV location,,,
FARFETCHD,Wild Duck Pokemon,Gen I Normal/Flying species,Flying egg-group species,,
FARIGIRAF,Long Neck Pokemon,Gen IX Normal/Psychic species,Evolves from Girafarig,Ground egg-group species,
FASHION CASE,Unlocks progression content,Tradable exchange item,Progress-gating key item,Exchangeable collectible,Adventure utility item
FAST BALL,Poor on most other targets,Special Poke Ball,,,
FEAROW,Beak Pokemon,Gen I Normal/Flying species,Evolves from Spearow,Flying egg-group species,
FEATHER DANCE,Flying status move,Gen III Flying move,debuffing move,,
FEEBAS,Fish Pokemon,Gen III Water species,Water1 egg-group species,,
FEINT ATTACK,Dark physical move,Gen II Dark move,60-power move,,
FELLHORN GORGE,Located in Kitakami,Paldea landmark,,,
FELL STINGER,Bug physical move,Gen VI Bug move,50-power move,boosting move,
FENNEKIN,Fox Pokemon,Gen VI Fire species,Ground egg-group species,,
FERALIGATR,Big Jaw Pokemon,Mega form turns Water/Dragon,Gen II Water species,Evolves from Croconaw,Monster egg-group species
FERROSEED,Thorn Seed Pokemon,Gen V Grass/Steel species,Plant egg-group species,,
FERROTHORN,Thorn Pod Pokemon,Gen V Grass/Steel species,Evolves from Ferroseed,Plant egg-group species,
FEZANDIPITI,Legendary Pokemon,Gen IX Retainer Pokemon,No-Eggs egg-group species,,
FICKLE BEAM,Dragon special move,Gen IX Dragon move,80-power move,,
FIDOUGH,Puppy Pokemon,Gen IX Fairy species,Ground egg-group species,,
FIELDS OF HONOR,Galar landmark,,,,
FIERY DANCE,Fire special move,Gen V Fire move,80-power move,boosting move,
FIERY PATH,Site on Mt. Chimney,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn
FIERY WRATH,Dark special move,Gen VIII Dark move,90-power move,,
FIGHT AREA,Sinnoh town,Town-side landmark,Town in Sinnoh,,
FIGHTING,combat element,normal-hitting type,,,
FIGHTING GEM,Held battle item,One-use Fighting booster,,,
FIGY BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Pinch-healing berry,Half-HP recovery berry
FILLET AWAY,Normal status move,Gen IX Normal move,0-power move,boosting move,
FILTER,Mime Jr's signature Ability,Gen IV ability,,,
FINAL GAMBIT,Fighting special move,Gen V Fighting move,,,
FINIZEN,Dolphin Pokemon,Gen IX Water species,Ground egg-group species,,
FINNEON,Wing Fish Pokemon,Gen IV Water species,Water2 egg-group species,,
FIRE,burning element,ice-resistant type,battle element,,
FIRE BLAST,burning move,110-power move,,,
FIRE FANG,burning move,65-power move,flinch-causing move,,
FIRE GEM,Held battle item,One-use Fire booster,,,
FIRE LASH,80-power move,debuffing move,,,
FIRE MEMORY,Species-linked power item,Signature battle item,,,
FIRE PLEDGE,80-power move,Fire special move,,,
FIRE PUNCH,burning move,75-power move,,,
FIRE SPIN,35-power move,Fire special move,,,
FIRE STONE,Bug-Catching Contest ball,National Park contest ball,Event-only distribution item,Tradable exchange item,Limited event key item
FISHING ROD,Unlocks progression content,Progress-gating key item,Adventure utility item,,
FISHIOUS REND,Water physical move,Gen VIII Water move,85-power move,switching move,
FISSURE,Ground physical move,Gen I Ground move,,,
FIST PLATE,The Holder'S Fighting-Type Moves By Power boost item,Boosts Fighting moves for The Holder',Fighting-move booster,Signature orb for The Holder',Species-specific power orb
FIVE ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
FLAAFFY,Wool Pokemon,Gen II Electric species,Evolves from Mareep,Monster egg-group species,
FLABEBE,Single Bloom Pokemon,Fairy egg-group species,,,
FLAIL,Normal physical move,Gen II Normal move,,,
FLAME BODY,Punishes contact attackers,Damages foes on contact KO,Contact-backlash trait,burning trait,
FLAME BOOST,Gen V ability,,,,
FLAME BURST,Fire special move,Gen V Fire move,70-power move,,
FLAME CHARGE,Fire physical move,Gen V Fire move,50-power move,boosting move,
FLAME ORB,Species-linked power item,Signature battle item,,,
FLAME PLATE,The Holder'S Fire-Type Moves By Power boost item,Boosts Fire moves for The Holder',Fire-move booster,Signature orb for The Holder',Species-specific power orb
FLAMETHROWER,Fire special move,burning move,Gen I Fire move,90-power move,
FLAME WHEEL,Fire physical move,burning move,Gen II Fire move,60-power move,
FLAMIGO,Synchronize Pokemon,Gen IX Flying/Fighting species,Flying egg-group species,,
FLAPPLE,Dragon Pokemon,Gen VIII Apple Wing Pokemon,Gen VIII Grass/Dragon species,Evolves from Applin,Plant egg-group species
FLARE BLITZ,Fire physical move,burning move,Gen IV Fire move,120-power move,
FLARE BOOST,Drifloon And Drifblim's signature Ability,burning trait,,,
FLAREON,Flame Pokemon,Gen I Fire species,Evolves from Eevee,Ground egg-group species,
FLASH,Normal status move,Gen I Normal move,debuffing move,,
FLASH CANNON,Steel special move,Gen IV Steel move,80-power move,debuffing move,
FLASH FIRE,protective trait,Absorbs Fire-type moves,,,
FLATTER,Confusion-causing move,Dark status move,Gen III Dark move,boosting move,
FLETCHINDER,Ember Pokemon,Gen VI Fire/Flying species,Evolves from Fletchling,Flying egg-group species,
FLETCHLING,Tiny Robin Pokemon,Gen VI Normal/Flying species,Flying egg-group species,,
FLEUR CANNON,Fairy special move,Gen VII Fairy move,130-power move,debuffing move,
FLING,Dark physical move,Gen IV Dark move,,,
FLIP TURN,Water physical move,Gen VIII Water move,60-power move,,
FLITTLE,Frill Pokemon,Gen IX Psychic species,Flying egg-group species,,
FLOARO GARDENS,Hisui landmark,Located in The Northwestern Part Of The Obsidian Fieldlands Of Hisui,,,
FLOAROMA,Sinnoh town,Sinnoh landmark,Town-side landmark,Town in Sinnoh,
FLOAT STONE,Poor on most other targets,Held battle item,,,
FLOATY FALL,Flying physical move,Gen VII Flying move,90-power move,,
FLOATZEL,Sea Weasel Pokemon,Gen IV Water species,Evolves from Buizel,Water1 egg-group species,
FLOCCESY,Unova town,Unova landmark,Town-side landmark,Town in Unova,
FLOCCESY RANCH,Site on Route 20,Unova route,Unova landmark,Route in Unova,
FLOETTE,Single Bloom Pokemon,Gen VI Fairy species,Evolves from Flabb,Mega-evolving species,Fairy egg-group species
FLOOD CHAMBER,Kalos landmark,,,,
FLORAGATO,Grass Cat Pokemon,Gen IX Grass species,Evolves from Sprigatito,Ground egg-group species,
FLORAL HEALING,Fairy status move,Gen VII Fairy move,,,
FLORGES,Garden Pokemon,Gen VI Fairy species,Evolves from Floette,Final form of Flabb,Fairy egg-group species
FLOWER GIFT,Cherrim's signature Ability,Weather-linked trait,debuffing trait,,
FLOWER SHIELD,Fairy status move,Gen VI Fairy move,boosting move,,
FLOWER SWEET,Milcery evolution item,Requires a spin while held,Spin-to-evolve held item,Evolution-trigger item,
FLOWER TRICK,Grass physical move,critical-hit move,Gen IX Grass move,70-power move,debuffing move
FLOWER VEIL,debuffing trait,protective trait,,,
FLUFFY,Punishes contact attackers,Stufful And Bewear's signature Ability,Damages foes on contact KO,Contact-backlash trait,
FLUFFY TAIL,Gen III spelunking,spelunking,,,
FLUTTER MANE,Paradox Pokemon,No-Eggs egg-group species,,,
FLYGON,Dragon Pokemon,Gen III Mystic Pokemon,Gen III Ground/Dragon species,Evolves from Vibrava,Bug egg-group species
FLYING,airborne element,ground-immune type,battle element,,
FLYING GEM,Held battle item,One-use Flying booster,,,
FLYING MEMORY,Species-linked power item,Signature battle item,,,
FLYING PRESS,Fighting physical move,Gen VI Fighting move,100-power move,,
FOCUS BAND,Held battle item,,,,
FOCUS BLAST,Fighting special move,Gen IV Fighting move,120-power move,debuffing move,
FOCUS ENERGY,Normal status move,critical-hit move,Gen I Normal move,,
FOCUS PUNCH,Fighting physical move,Gen III Fighting move,150-power move,,
FOCUS SASH,Held battle item,,,,
FOLLOW ME,Normal status move,Gen III Normal move,priority move,,
FOMANTIS,Sickle Grass Pokemon,Gen VII Grass species,Plant egg-group species,,
FOONGUS,Mushroom Pokemon,Gen V Grass/Poison species,Plant egg-group species,,
FOOTSTEP HOUSE,Home of the Footprint Ribbon,Sinnoh landmark,,,
FORAGE BAG,Berry-blending ingredient,Unlocks progression content,Progress-gating key item,Adventure utility item,
FORCE PALM,Fighting physical move,paralyzing move,Gen IV Fighting move,60-power move,
FORECAST,Castform's signature Ability,Weather-linked trait,,,
FORESIGHT,Normal status move,Gen II Normal move,,,
FOREST OF FOCUS,Galar landmark,,,,
FORESTS CURSE,Grass status move,Gen VI Grass move,,,
FOREWARN,burning ability,Gen IV ability,,,
FORRETRESS,Bagworm Pokemon,Gen II Bug/Steel species,Evolves from Pineco,Bug egg-group species,
FORTREE,Hoenn city,Hoenn landmark,Urban landmark,City in Hoenn,
FORTUNE,Gen V ability,,,,
FOUL PLAY,Dark physical move,Gen V Dark move,95-power move,,
FOUR ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
FOURRAGE ROAD,Bay-side landmark,Kalos route,Urban landmark,Route in Kalos,Kalos landmark
FRAXURE,Axe Jaw Pokemon,Gen V Dragon species,Evolves from Axew,Monster egg-group species,
FREEZE DRY,Ice special move,Gen VI Ice move,70-power move,,
FREEZE SHOCK,Ice physical move,paralyzing move,Gen V Ice move,140-power move,
FREEZING GLARE,Psychic special move,Gen VIII Psychic move,90-power move,,
FREEZINGTON,Galar village,Galar landmark,Village in Galar,,
FREEZY FROST,Ice special move,Gen VII Ice move,100-power move,,
FRENZY PLANT,Grass special move,Gen III Grass move,150-power move,,
FRESH WATER,Pinch-healing berry,Restores 50 HP,Half-HP recovery berry,50-HP restorative,Tradable exchange item
FRIEND BALL,Poor on most other targets,Special Poke Ball,,,
FRIEND GUARD,Reduces damage taken by allies,Protective ally-screen trait,,,
FRIEND SAFARI,Kalos city,Kalos landmark,Urban landmark,City in Kalos,
FRIGHTEN,Gen V ability,,,,
FRIGIBAX,Ice Fin Pokemon,Gen IX Dragon/Ice species,Dragon egg-group species,,
FRIGID SEA,Galar cave,Galar landmark,Cave in Galar,,
FRILLISH,Floating Pokemon,Gen V Water/Ghost species,Indeterminate egg-group species,,
FRISK,Reveals the foe's held item on entry,Item-sniffing switch-in trait,,,
FROAKIE,Bubble Frog Pokemon,Gen VI Water species,Water1 egg-group species,,
FROGADIER,Bubble Frog Pokemon,Gen VI Water species,Evolves from Froakie,Water1 egg-group species,
FROSLASS,Snow Land Pokemon,Mega form turns Ice/Ghost,Gen IV Ice/Ghost species,Evolves from A,Fairy egg-group species
